pillar,topic,selected_working_title,revenue_proximity,competitive_gap,pillar_importance,priority_score,seasonal_flag,seasonal_window,scheduled_date,status,live_url,notes
Occasion & Pub Experience,When a Pub Is the Right Choice for Casual Dining,"When a Pub Is the Right Choice for Casual Dining",,,,,no,,,draft,,"Draft created on 2026-04-27. Semrush data not provided yet; keyword list saved in kw-research.md."
Occasion & Pub Experience,Booking a private event at a pub,"Booking a private event at a pub: what to know before you reach out",5,4,5,14,no,,,backlog,,"25 seated / 40 standing / no room fee / cake service / 48hr notice for some items. Book early for Nov-Dec."
Choice & Menu Decisions,What to order on a first visit to Malt & Barley,"What to order at Malt & Barley if it's your first time",4,4,5,13,no,,,backlog,,Highest decision-stage value. Brand-specific. Links to donair + fish & chips posts.
Occasion & Pub Experience,Birthday dinners at a pub,"Is a pub the right call for a birthday dinner?",5,4,4,13,no,,,backlog,,Link to private events post. Mention cake service and group platters.
Local Pub Discovery,What makes a neighbourhood pub different from a sports bar or chain,"What makes a neighbourhood pub different from a sports bar",3,5,5,13,no,,,backlog,,No direct competitor covers this angle. Links to Williamsburg context post.
Standards Atmosphere & Trust,What scratch kitchen means at a pub,"What scratch kitchen actually means at a pub",3,5,5,13,no,,,backlog,,AI trust signal content. High citation potential.
Local Pub Discovery,How People Find Local Pubs in Kitchener,How People Find Local Pubs in Kitchener,4,4,5,13,no,,2026-04-27,published,https://maltandbarley.ca/posts/94794/good-beer-scratch-food-and-a-room-worth-coming-back-to,"User confirmed published on 2026-04-27. Live title: Good Beer, Scratch Food, and a Room Worth Coming Back To. Check overlap with Pubs in Kitchener: what the options look like before briefing."
Pub Food Fundamentals,What is a Halifax donair,"What is a donair, and why is it on a pub menu in Kitchener",2,5,5,12,no,,,backlog,,Signature dish content anchor. East Coast transplant magnet.
Occasion & Pub Experience,Date night at a pub,"Date night at a pub: why it works better than you expect",4,4,4,12,no,,,backlog,,Targets couple consideration intent.
Occasion & Pub Experience,Kids at a pub: what to expect at Malt & Barley,"Bringing kids to a pub: what to expect at Malt & Barley",4,3,5,12,no,,,backlog,,"Kids menu (12 & under) all $11. Family Planner audience."
Choice & Menu Decisions,What to order from Malt & Barley for delivery,"What to order from Malt & Barley when you're getting delivery",4,4,4,12,no,,,backlog,,"DoorDash top orders: Fish & Chips / Williamsburger / Mac & Cheese."
Choice & Menu Decisions,Which daily special is worth planning around,"Donair Monday to Burger Thursday: which daily special is worth coming in for",4,4,4,12,no,,,backlog,,Drives repeat midweek visits. Dine-in only specials.
Choice & Menu Decisions,Wing sauce guide at Malt & Barley,"Every wing sauce at Malt & Barley, ranked by heat",4,4,3,11,no,,,backlog,,Companion to Wing Wednesday content.
Choice & Menu Decisions,Draught list guide,"What's on tap at Malt & Barley: a guide to the draught list",3,4,4,11,no,,,backlog,,24 rotating taps. Content opportunity to own this search.
Occasion & Pub Experience,What trivia night at a pub looks like,"What trivia night at a pub actually looks like",4,3,4,11,no,,,backlog,,"Trivia Tuesdays 7-9pm. Also note Music Bingo Thursdays."
Occasion & Pub Experience,Live music at a neighbourhood pub,"What live music at a neighbourhood pub actually sounds like",3,4,4,11,no,,,backlog,,"Live music Fri + Sat 7:30-10:30pm / Acoustic Sundays 2:30-4:30pm."
Local Pub Discovery,Pubs in Kitchener: what the options look like,"Pubs in Kitchener: what the options look like",4,3,4,11,no,,,backlog,,Monitor for overlap with written How People Find Local Pubs draft at brief stage.
Local Pub Discovery,The Williamsburg area as a pub neighbourhood,"Why Williamsburg has a neighbourhood pub and what that means for the area",3,5,3,11,no,,,backlog,,Hyperlocal. Fischer-Hallman / Williamsburg Town Centre context.
Pub Food Fundamentals,East Coast pub sides: garlic fingers Newfie fries and what makes them different,"Garlic fingers and Newfie fries: the East Coast pub sides explained",2,5,4,11,no,,,backlog,,Underserved content gap. East Coast transplant content.
Pub Food Fundamentals,British pub classics on a Canadian menu,"British pub classics you might not recognise - and why they're on our menu",2,4,5,11,no,,,backlog,,Curried chicken pie + liver & onions + sticky toffee pudding. Celtic identity content.
Local Pub Discovery,Family-friendly pubs in Kitchener,"Family-friendly pubs in Kitchener: what to look for",3,4,4,11,no,,,backlog,,Discovery stage. Distinct from kids experience post in Pillar 3.
Standards Atmosphere & Trust,Why local craft beer on tap matters at a neighbourhood pub,"Why local craft beer on tap matters at a neighbourhood pub",3,4,4,11,no,,,backlog,,Trust angle. Distinct from P2 draught guide which is a decision guide.
Standards Atmosphere & Trust,What the regulars know that first-timers don't,"What the regulars at Malt & Barley know that first-timers don't",3,4,4,11,no,,,backlog,,Primary audience: Williamsburg Regular.
Choice & Menu Decisions,Which platter to order for your group size,"Which platter to order at Malt & Barley and how much it feeds",4,3,4,11,no,,,backlog,,"Donair Platter $75 / Munchie Platter $90 / Wings from $55. Some require 48hr notice."
Pub Food Fundamentals,Pub food vs. bar food: what actually separates them,"Pub food vs. bar food: what the difference actually is",2,4,4,10,no,,,backlog,,Definitional content. Positions against sports bar competitors.
Choice & Menu Decisions,Ordering at a pub with dietary restrictions,"What to eat at a pub when you have dietary restrictions",3,4,3,10,no,,,backlog,,Confirm veg + GF options with kitchen before publishing.
Occasion & Pub Experience,Patio season at Malt & Barley,"Patio season at Malt & Barley: what summer looks like out front",3,3,4,10,yes,Apr-Sep,,backlog,,SEASONAL - schedule ahead of patio opening (typically May).
Standards Atmosphere & Trust,The pub as a community space,"What a neighbourhood pub actually does for the people who live nearby",2,5,3,10,no,,,backlog,,AI citation candidate for brand reputation queries.
Standards Atmosphere & Trust,How a neighbourhood pub earns repeat business,"How a neighbourhood pub earns regulars - and keeps them",2,4,4,10,no,,,backlog,,Distinct from regulars post - this is about pub practices not insider knowledge.
Standards Atmosphere & Trust,Monthly chef specials and what they signal about a pub kitchen,"Why the monthly specials at Malt & Barley are worth paying attention to",3,4,3,10,no,,,backlog,,"April 2026 specials: Pad Thai / Blackened Orange Roughy / Pesto Chicken Gorgonzola / Veal Parm Sannie. GBP post opportunity each month."
Pub Food Fundamentals,Comfort food at a pub: what it means and why it hits differently,"What comfort food actually means at a pub",2,3,4,9,no,,,backlog,,Pot roast $26 + mac & cheese $22 as anchor dishes.
Occasion & Pub Experience,Watching sports at a pub vs. a sports bar,"Why watching sports at a pub is different from a sports bar",3,3,3,9,no,,,backlog,,"8 TVs / FuboTV + DAZN / Premier League, Champions League, NHL, NBA, NFL, MLB."
Pub Food Fundamentals,What to look for in good fish and chips,"What good fish and chips actually looks like",2,3,3,8,no,,,backlog,,Core identity dish. 1pc $18 / 2pc $25.
Pub Food Fundamentals,Wings: sauces styles and what makes them worth ordering,"The wing guide: sauces, styles, and what to actually order",3,2,3,8,no,,,backlog,,Supports Wing Wednesday recurring traffic. Garlic parmesan reviewed positively.
