offering_name,category,seasonal,seasonal_months,year_round,content_priority,search_intent,available_dine_in,available_takeout,available_delivery,notes
Halifax Classic Donair,food,no,,yes,high,informational+transactional,yes,yes,yes,Signature dish. Ground beef + lamb on vertical spit. Traditional sweet sauce. $19. Featured in press. Primary content asset.
East Coast Fish & Chips,food,no,,yes,high,transactional,yes,yes,yes,1 piece $18 / 2 pieces $25. Core identity dish. East Coast positioning anchor.
Chicken Wings,food,no,,yes,high,transactional,yes,yes,yes,$18 regular. Wing Wednesday special $13/lb. Multiple sauces incl. garlic parmesan (reviewed positively).
Sticky Toffee Pudding,food,no,,yes,medium,transactional,yes,yes,no,Dessert $10. Distinctly Celtic/British. Differentiates from generic pub desserts.
The Williamsburger,food,no,,yes,medium,transactional,yes,yes,yes,$19. Named after the neighbourhood - local identity value.
The Haymaker Burger,food,no,,yes,medium,transactional,yes,yes,yes,$21.
Masala Crunch Burger,food,no,,yes,low,transactional,yes,yes,yes,$18. Signals menu range beyond Celtic/East Coast core.
Dave's Hot Chicken Tacos,food,no,,yes,low,transactional,yes,yes,yes,$18.
Reuben Sandwich,food,no,,yes,medium,transactional,yes,yes,yes,$25. Praised in TripAdvisor reviews.
Chicken Bacon Panini,food,no,,yes,low,transactional,yes,yes,yes,$21.
Baked Spinach Dip,food,no,,yes,low,transactional,yes,yes,yes,$16. Popular shareable.
Cheesy Garlic Fingers,food,no,,yes,medium,transactional,yes,yes,yes,$11-$18. East Coast staple (common in Maritimes).
Donair Fingers,food,no,,yes,medium,transactional,yes,yes,yes,$15-$20. Donair-flavoured variation - content opportunity around the East Coast angle.
Malt Nachos,food,no,,yes,low,transactional,yes,yes,yes,$15-$24.
Munchie Box,food,no,,yes,low,transactional,yes,yes,yes,$47. Group/sharing item.
Battered Mushrooms,food,no,,yes,low,transactional,yes,yes,yes,$14.
Crispy Calamari,food,no,,yes,low,transactional,yes,yes,yes,$16.
Caesar Salad,food,no,,yes,low,transactional,yes,yes,yes,Side $9 / Full $16.
Malt Salad,food,no,,yes,low,transactional,yes,yes,yes,Side $9 / Full $16. House salad.
Half Rack Crispy Ribs,food,no,,yes,medium,transactional,yes,yes,yes,Half $23 / Full $29.
Crispy Salmon Bowl,food,no,,yes,low,transactional,yes,yes,yes,$26.
Curried Chicken Pie,food,no,,yes,medium,informational+transactional,yes,yes,yes,$23. Celtic/British pub classic - underordered likely. Content opportunity.
Liver & Onions,food,no,,yes,medium,informational+transactional,yes,yes,yes,$23. Classic British pub dish - niche but authentic to the Celtic identity.
Mac & Cheese,food,no,,yes,low,transactional,yes,yes,yes,$22.
Pot Roast,food,no,,yes,medium,transactional,yes,yes,yes,$26. Comfort food anchor. Content opportunity as a slow-cooked pub classic.
Schnitzel,food,no,,yes,low,transactional,yes,yes,yes,$24.
Enchilada Bowl,food,no,,yes,low,transactional,yes,yes,yes,$21.
Crispy Cauliflower Bites,food,no,,yes,low,transactional,yes,yes,yes,$14. Vegetarian option.
Fried Brothers Pepperoni,food,no,,yes,low,transactional,yes,yes,yes,$14.
Pretzel Queso Dip,food,no,,yes,low,transactional,yes,yes,yes,$17.
Fresh Cut Fries,food,no,,yes,low,transactional,yes,yes,yes,$9.
Poutine,food,no,,yes,low,transactional,yes,yes,yes,$13.
Newfie Fries,food,no,,yes,medium,informational+transactional,yes,yes,yes,$13. East Coast item - content opportunity (explain what makes them Newfie-style).
Onion Rings,food,no,,yes,low,transactional,yes,yes,yes,$12.
Sweet Potato Fries,food,no,,yes,low,transactional,yes,yes,yes,$12.
Spiced Lattice Chips,food,no,,yes,low,transactional,yes,yes,yes,$14.
Apple Crumble,food,no,,yes,low,transactional,yes,yes,no,$10.
