pillar,topic,working_title_1,working_title_2,working_title_3,revenue_proximity,competitive_gap,pillar_importance,priority_score,status,live_url,notes
Pub Food Fundamentals,What is a Halifax donair,"What is a donair, and why is it on a pub menu in Kitchener","The Halifax donair: what it is, where it comes from, and what makes it different","Donair vs. gyro vs. shawarma: a quick guide to what we actually serve",2,5,5,12,planned,,Signature dish content anchor. East Coast transplant magnet. Explain vertical spit + sweet sauce.
Pub Food Fundamentals,Pub food vs. bar food: what actually separates them,"Pub food vs. bar food: what the difference actually is","Why pub menus are built differently from bar menus","The menu question: what separates a pub from a bar",2,4,4,10,planned,,Definitional content. Positions Malt & Barley vs. sports bar competitors.
Pub Food Fundamentals,What to look for in good fish and chips,"What good fish and chips actually looks like","How to tell if fish and chips are worth ordering","Fish and chips: what the pub standard is and why it matters",2,3,3,8,planned,,Core identity dish. East Coast positioning anchor. 1pc $18 / 2pc $25.
Pub Food Fundamentals,Wings: sauces styles and what makes them worth ordering,"The wing guide: sauces, styles, and what to actually order","Wings at a pub: what makes them different from anywhere else","How to order wings well - a quick guide to sauce, heat, and what pairs with what",3,2,3,8,planned,,Supports Wing Wednesday recurring traffic. Garlic parmesan reviewed positively.
Pub Food Fundamentals,East Coast pub sides: garlic fingers Newfie fries and what makes them different,"Garlic fingers and Newfie fries: the East Coast pub sides explained","What makes garlic fingers different from garlic bread - and why we have both","East Coast pub sides: what they are and why they're on the menu in Kitchener",2,5,4,11,planned,,Cheesy garlic fingers + Newfie fries + donair fingers all on menu. Underserved content gap. East Coast transplant content.
Pub Food Fundamentals,British pub classics on a Canadian menu,"British pub classics you might not recognise - and why they're on our menu","Curried chicken pie, liver and onions, sticky toffee pudding: a quick guide to the British side of the menu","What the British dishes on a Canadian pub menu are actually like",2,4,5,11,planned,,Covers curried chicken pie (noted underordered) / liver & onions / sticky toffee pudding. Celtic identity content. Dave from Scotland.
Pub Food Fundamentals,Comfort food at a pub: what it means and why it hits differently,"What comfort food actually means at a pub","Pot roast, mac and cheese, and why pub versions hit differently","The slow-cooked side of the menu: what pub comfort food gets right",2,3,4,9,planned,,Pot roast $26 + mac & cheese $22 as slow-cooked anchor dishes.
Choice & Menu Decisions,What to order on a first visit to Malt & Barley,"What to order at Malt & Barley if it's your first time","First visit? Here is what most people end up coming back for","The short guide to ordering well at Malt & Barley",4,4,5,13,planned,,Highest decision-stage value. Brand-specific. Links to donair + fish & chips posts.
Choice & Menu Decisions,Wing sauce guide at Malt & Barley,"Every wing sauce at Malt & Barley, ranked by heat","Which wing sauce should you get? A quick guide","How to order wings at Malt & Barley: sauce, heat, and what to expect",4,4,3,11,planned,,Companion to Wing Wednesday content. Highly specific to brand.
Choice & Menu Decisions,Draught list guide,"What's on tap at Malt & Barley: a guide to the draught list","How to pick a draught beer at Malt & Barley","The tap selection at Malt & Barley: what we pour and what pairs well",3,4,4,11,planned,,24 rotating taps. Full list not published on site. Content opportunity to own this search.
